id_jugador;confederacion;pais;pais_iso_3;categoria;liga;equipo;nombre;ciudad_nacimiento;fecha_nacimiento;puesto;trayectoria
0;AFC;ARABIA SAUDITA;SAU;1;Professional League;Al Ettifaq;Cristian David Guanca;Don Torcuato, Buenos Aires ;27/03/1993;DEL;['Chacarita (ARG)', 'Colon Santa Fe (ARG)', 'Emelec (ECU)', 'Kasimpasa (TUR)', 'Colon de Santa Fe (ARG)', 'Al Ettifaq (SAU)']
1;AFC;ARABIA SAUDITA;SAU;1;Professional League;Al Feiha;Jonathan David Gomez;Capitan Bermudez, Santa Fe ;21/12/1989;VOL;['Rosario Central (ARG)', 'Banfield (ARG)', 'Murcia (ESP)', 'Arsenal (ARG)', 'Atlético Tucumán (ARG)', 'Pasto (COL)', 'Independiente Santa Fe (COL)', 'San Pablo (BRA)', 'Al Feiha (SAU)']
2;AFC;AUSTRALIA;AUS;1;A-League;Western Sydney Wanderers;Marcelo Adrian Carrusca;La Plata, Buenos Aires ;09/01/1983;VOL;['Estudiantes LP (ARG)', 'Galatasaray (TUR)', 'Cruz Azul (MEX)', 'Estudiantes LP (ARG)', 'Banfield (ARG)', 'San Martín de San Juan (ARG)', 'Adelaide United (AUS)', 'Melbourne City (AUS)', 'Western Sydney Wanderers (AUS)']
3;AFC;AUSTRALIA;AUS;2;Australia Capital Territory National Premier League;Cooma Tigers;Jeremías Ibarra;Cooma, Australia ;;VOL;['Div. Inf. (ARG)', 'Cooma Tigers (AUS)']
4;AFC;AUSTRALIA;AUS;2;New South Wales National Premier League;Sydney Olympic;Ezequiel Consoni;Ramos Mejia, Buenos Aires ;19/03/1997;ARQ;['Sydney Olympic (AUS)', 'San Lorenzo (ARG)', 'Sydney Olympic (AUS)']
5;AFC;AUSTRALIA;AUS;2;New South Wales National Premier League;Sydney United 58;Cristian Manuel González;Australia ;29/12/1996;VOL;['Blacktown City (AUS)', 'Sydney FC Youth (AUS)', 'Sydney United 58 (AUS)']
6;AFC;AUSTRALIA;AUS;2;Victoria National Premier League;Avondale;Jonathan Miguel Germano;San Nicolas, Buenos Aires ;01/01/1988;VOL;['Estudiantes LP (ARG)', 'Rijeka (HRV)', 'Sportivo Luqueño (PRY)', 'Estudiantes LP (ARG)', 'Melbourne City (AUS)', 'Avondale (AUS)']
7;AFC;AUSTRALIA;AUS;2;Victoria National Premier League;Pascoe Vale;Nicolas Abot;Mar del Plata, Buenos Aires ;28/09/1995;DEL;['Olimpo de Bahia Blanca (ARG)', 'Sportivo Italiano (ARG)', 'Sporting de Punta Alta (ARG)', 'Zamora (VEN)', 'Rampla Juniors (URY)', 'Laferrere (ARG)', 'Ferrocarril Sud de Olavarria (ARG)', 'Blooming (BOL)', 'Jurmala (LVA)', 'Persebaya Surubaya (IND)', 'Cooma Tigers (AUS)', 'Tasman United (NZL)', 'Cooma Tigers (AUS)', 'SK Viktoria Wanderers (MLT)', 'Tricase (ITA)', 'Pascoe Vale (AUS)']
8;AFC;AUSTRALIA;AUS;3;Victoria National Premier League 2;Moreland City;Lisandro Paz;;;VOL;['Port Melbourne Sharks (AUS)', 'Moreland City (AUS)', 'Port Melbourne Sharks (AUS)', 'Moreland City (AUS)']
9;AFC;AUSTRALIA;AUS;3;Victoria National Premier League 2;Moreland City;Christopher Andre Cristaldo;Asuncion, Paraguay ;15/01/1995;VOL;['FFV NTC (AUS)', 'Melbourne Victory (AUS)', 'Hume City (AUS)', 'Weribee City (AUS)', 'Melbourne City Youth (AUS)', 'Nacional (PRY)', 'Port Melbourne Sharks (AUS)', 'SainT Albans Saints (AUS)', 'Moreland City (AUS)']
