id_jugador;nombre;orden;equipo;pais_iso_3
0;Cristian David Guanca;0;Chacarita;ARG
0;Cristian David Guanca;1;Colon Santa Fe;ARG
0;Cristian David Guanca;2;Emelec;ECU
0;Cristian David Guanca;3;Kasimpasa;TUR
0;Cristian David Guanca;4;Colon de Santa Fe;ARG
0;Cristian David Guanca;5;Al Ettifaq;SAU
1;Jonathan David Gomez;0;Rosario Central;ARG
1;Jonathan David Gomez;1;Banfield;ARG
1;Jonathan David Gomez;2;Murcia;ESP
1;Jonathan David Gomez;3;Arsenal;ARG
1;Jonathan David Gomez;4;Atlético Tucumán;ARG
1;Jonathan David Gomez;5;Pasto;COL
1;Jonathan David Gomez;6;Independiente Santa Fe;COL
1;Jonathan David Gomez;7;San Pablo;BRA
1;Jonathan David Gomez;8;Al Feiha;SAU
2;Marcelo Adrian Carrusca;0;Estudiantes LP;ARG
2;Marcelo Adrian Carrusca;1;Galatasaray;TUR
2;Marcelo Adrian Carrusca;2;Cruz Azul;MEX
2;Marcelo Adrian Carrusca;3;Estudiantes LP;ARG
2;Marcelo Adrian Carrusca;4;Banfield;ARG
2;Marcelo Adrian Carrusca;5;San Martín de San Juan;ARG
2;Marcelo Adrian Carrusca;6;Adelaide United;AUS
2;Marcelo Adrian Carrusca;7;Melbourne City;AUS
2;Marcelo Adrian Carrusca;8;Western Sydney Wanderers;AUS
3;Jeremías Ibarra;0;Div. Inf.;ARG
3;Jeremías Ibarra;1;Cooma Tigers;AUS
4;Ezequiel Consoni;0;Sydney Olympic;AUS
4;Ezequiel Consoni;1;San Lorenzo;ARG
4;Ezequiel Consoni;2;Sydney Olympic;AUS
5;Cristian Manuel González;0;Blacktown City;AUS
5;Cristian Manuel González;1;Sydney FC Youth;AUS
5;Cristian Manuel González;2;Sydney United 58;AUS
6;Jonathan Miguel Germano;0;Estudiantes LP;ARG
6;Jonathan Miguel Germano;1;Rijeka;HRV
6;Jonathan Miguel Germano;2;Sportivo Luqueño;PRY
6;Jonathan Miguel Germano;3;Estudiantes LP;ARG
6;Jonathan Miguel Germano;4;Melbourne City;AUS
6;Jonathan Miguel Germano;5;Avondale;AUS
7;Nicolas Abot;0;Olimpo de Bahia Blanca;ARG
7;Nicolas Abot;1;Sportivo Italiano;ARG
7;Nicolas Abot;2;Sporting de Punta Alta;ARG
7;Nicolas Abot;3;Zamora;VEN
7;Nicolas Abot;4;Rampla Juniors;URY
7;Nicolas Abot;5;Laferrere;ARG
7;Nicolas Abot;6;Ferrocarril Sud de Olavarria;ARG
7;Nicolas Abot;7;Blooming;BOL
7;Nicolas Abot;8;Jurmala;LVA
7;Nicolas Abot;9;Persebaya Surubaya;IND
7;Nicolas Abot;10;Cooma Tigers;AUS
7;Nicolas Abot;11;Tasman United;NZL
7;Nicolas Abot;12;Cooma Tigers;AUS
7;Nicolas Abot;13;SK Viktoria Wanderers;MLT
7;Nicolas Abot;14;Tricase;ITA
7;Nicolas Abot;15;Pascoe Vale;AUS
8;Lisandro Paz;0;Port Melbourne Sharks;AUS
8;Lisandro Paz;1;Moreland City;AUS
8;Lisandro Paz;2;Port Melbourne Sharks;AUS
8;Lisandro Paz;3;Moreland City;AUS
9;Christopher Andre Cristaldo;0;FFV NTC;AUS
9;Christopher Andre Cristaldo;1;Melbourne Victory;AUS
9;Christopher Andre Cristaldo;2;Hume City;AUS
9;Christopher Andre Cristaldo;3;Weribee City;AUS
9;Christopher Andre Cristaldo;4;Melbourne City Youth;AUS
9;Christopher Andre Cristaldo;5;Nacional;PRY
9;Christopher Andre Cristaldo;6;Port Melbourne Sharks;AUS
9;Christopher Andre Cristaldo;7;SainT Albans Saints;AUS
9;Christopher Andre Cristaldo;8;Moreland City;AUS
10;Gonzalo Freddi;0;Cadetes de San Martin;ARG
10;Gonzalo Freddi;1;Peñarol de Mar del Plata;ARG
10;Gonzalo Freddi;2;Dandenong City;AUS
10;Gonzalo Freddi;3;Richmond;AUS
10;Gonzalo Freddi;4;Murray United;AUS
11;Hernán Espindola;0;Melbourne Victory U21;AUS
11;Hernán Espindola;1;Pascoe Vale;AUS
11;Hernán Espindola;2;Melbourne Heart;AUS
11;Hernán Espindola;3;Melbourne City;AUS
11;Hernán Espindola;4;Hume City;AUS
11;Hernán Espindola;5;Saint Albans Saints;AUS
12;Damian Casiro;0;Byron Bay FC;AUS
13;Heraldo Santiago Gauna;0;ACF Fury;NZL
13;Heraldo Santiago Gauna;1;Waiheke United;NZL
13;Heraldo Santiago Gauna;2;Surfers Paradise Apollo SC;AUS
14;Jordan Ariel Mariani;0;Excursionistas;ARG
14;Jordan Ariel Mariani;1;River;ARG
14;Jordan Ariel Mariani;2;Atlanta;ARG
14;Jordan Ariel Mariani;3;Diamond Valley United;AUS
14;Jordan Ariel Mariani;4;North City Wolves;AUS
14;Jordan Ariel Mariani;5;Moreland United;AUS
14;Jordan Ariel Mariani;6;Malvern City FC;AUS
15;Federico Nahuel Cruz;0;Villa Dalmine;ARG
15;Federico Nahuel Cruz;1;Fenix;ARG
15;Federico Nahuel Cruz;2;Robles de Zarate;ARG
15;Federico Nahuel Cruz;3;Puerto Nuevo;ARG
15;Federico Nahuel Cruz;4;Wellington Olympics;NZL
15;Federico Nahuel Cruz;5;Bankstown United;AUS
16;German Gonzalo Cabrera;0;Sydney Olympic;AUS
16;German Gonzalo Cabrera;1;Northern Spirit;AUS
16;German Gonzalo Cabrera;2;Apoel Nicossia;CYP
16;German Gonzalo Cabrera;3;Rockdale Llinden;AUS
16;German Gonzalo Cabrera;4;Mirandes;ESP
16;German Gonzalo Cabrera;5;Albion Park;AUS
16;German Gonzalo Cabrera;6;Vasco Club;IND
16;German Gonzalo Cabrera;7;Hakioah Sydney City East;AUS
16;German Gonzalo Cabrera;8;Hurstville FC;AUS
17;Ignacio Lopez Scala;0;South Yarra SC;AUS
18;Juan Igic;0;South Melbourne;AUS
18;Juan Igic;1;Melborune City FC;AUS
18;Juan Igic;2;Westgate FC;AUS
19;Matías Reposi;0;Melborune Cvity FC;AUS
19;Matías Reposi;1;Moreland United;AUS
19;Matías Reposi;2;Westvale FC;AUS
20;Nehuen Alva;0;Avalon Soccer;AUS
21;Fernando Daniel Santillan;0;Melborune City Reserves;AUS
21;Fernando Daniel Santillan;1;AFC Fury;NZL
21;Fernando Daniel Santillan;2;Melbourne City;AUS
21;Fernando Daniel Santillan;3;Upsfield;AUS
21;Fernando Daniel Santillan;4;Collingwood City;AUS
22;Mariano Gabriel Chain;0;Platense;ARG
22;Mariano Gabriel Chain;1;Leandro N.Alem;ARG
22;Mariano Gabriel Chain;2;General Lamadrid;ARG
22;Mariano Gabriel Chain;3;Moreland United;AUS
22;Mariano Gabriel Chain;4;Fitzroy City;AUS
22;Mariano Gabriel Chain;5;Moreland United SC;AUS
23;Sebastian Goyenechea;0;Endeavour United;AUS
24;Matias Chiorazo;0;Melbourne City FC;AUS
25;Agustin Montes Miranda;0;Melbourne City FC;AUS
26;Emilio Lucarena;0;Melbourne City FC;AUS
27;Fabian Pacheco;0;Melbourne City FC;AUS
28;Adrian Santa Maria;0;Melbourne City FC;AUS
29;Gabriel Raponi;0;West Preston;AUS
30;Luciano Salomon;0;Knox United FC;AUS
31;Mariano Benet;0;San Lorenzo;ARG
31;Mariano Benet;1;Brimbank Satallions;AUS
31;Mariano Benet;2;Westside Strikers Caroline Springs;AUS
32;Luciano Emanuel Araya;0;El Linqueño;ARG
32;Luciano Emanuel Araya;1;Unión San Felipe;CHL
32;Luciano Emanuel Araya;2;Uruguay Montevideo;URY
32;Luciano Emanuel Araya;3;Jorge Newbey;ARG
32;Luciano Emanuel Araya;4;Sport de Salto;ARG
32;Luciano Emanuel Araya;5;Rivadavia de Lincoln;ARG
32;Luciano Emanuel Araya;6;Coquimbo Unido;CHL
32;Luciano Emanuel Araya;7;Liga de Salto;ARG
32;Luciano Emanuel Araya;8;Sheikh Jamal Dhanmondi;BGD
33;Sergio Ariel Escudero;0;Vélez;ARG
33;Sergio Ariel Escudero;1;Urawa Red Diamonds;JPN
33;Sergio Ariel Escudero;2;FC Seul;KOR
33;Sergio Ariel Escudero;3;Jaignsu GS;CHN
33;Sergio Ariel Escudero;4;Kyoto Sanga;JPN
33;Sergio Ariel Escudero;5;Ulsan Hyundai;KOR
34;Diego Oscar Bielkiewicz;0;Lanus;ARG
34;Diego Oscar Bielkiewicz;1;Atlanta;ARG
34;Diego Oscar Bielkiewicz;2;San Telmo;ARG
34;Diego Oscar Bielkiewicz;3;Flandria;ARG
34;Diego Oscar Bielkiewicz;4;Gimnasia y Tiro;ARG
34;Diego Oscar Bielkiewicz;5;Estudiantes de Buenos Aires;ARG
34;Diego Oscar Bielkiewicz;6;Defensores de Belgrano de Villa Ramallo;ARG
34;Diego Oscar Bielkiewicz;7;Iquique;CHL
34;Diego Oscar Bielkiewicz;8;Seul E Land;KOR
35;Augusto Matias Fernández;0;River;ARG
35;Augusto Matias Fernández;1;Saint Ettienne;FRA
35;Augusto Matias Fernández;2;Vélez;ARG
35;Augusto Matias Fernández;3;Celta de Vigo;ESP
35;Augusto Matias Fernández;4;Atletico de Madrid;ESP
